provider,state
Hochschule Döpfer,Brandenburg
Evang. Hochschule Nürnberg,Bayern
AKAD University,Baden-Württemberg
Bucerius Law School,Hamburg
Hochschule für angewandtes Management,Bayern
Weißensee Kunsthochschule Berlin,Berlin
Kommunale Hochschule für Verwaltung in Niedersachsen,Niedersachsen
Akademie der Bildenden Künste Stuttgart,Baden-Württemberg
University of Labour,Hessen
Universitätsklinikum Ulm,Baden-Württemberg
Hochschule für Musik und Theater Hamburg,Hamburg
Deutsche Universität für Verwaltungswissenschaften Speyer,Rheinland-Pfalz
Universität Halle,Sachsen-Anhalt
HMU Health and Medical University Potsdam,Brandenburg
Fachhochschule für Verwaltung des Saarlandes,Saarland
Zeppelin Universität Friedrichshafen,Baden-Württemberg
Katholische Hochschule Berlin,Berlin
SRH Hochschule,Baden-Württemberg
Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig,Sachsen
Hochschule der Polizei Brandenburg,Brandenburg
Constructor University,Bremen
"FH für öffentliche Verwaltung, Polizei und Rechtspflege Güstrow",Mecklenburg-Vorpommern
accadis Hochschule,Hessen
Dresden International University,Sachsen
Berufsakademie für IT und Wirtschaft,Niedersachsen
TU Bergakademie Freiberg,Sachsen
CODE University,Berlin
FH für Rechtspflege NRW,Nordrhein-Westfalen
Universitätsmedizin Frankfurt,Hessen
FH für Sport und Management Potsdam,Brandenburg
KLU Kühne Logistics University,Hamburg
Munich Business School,Bayern
IST-Hochschule fur Management,Nordrhein-Westfalen
Universitätsklinikum Carl Gustav Carus Dresden,Sachsen
Medizinische Hochschule Brandenburg,Brandenburg
Hochschule Weserbergland,Niedersachsen
Mediadesign Hochschule,Berlin
Rheinische Fachhochschule Köln,Nordrhein-Westfalen
HFJS Heidelberg,Baden-Württemberg
FH der Wirtschaft Paderborn,Nordrhein-Westfalen
Hochschuke für Musik und Theater München,Bayern
HfPol Baden-Württemberg,Baden-Württemberg
Hochschule für Philosophie München,Bayern
Kolping Hochschule,Nordrhein-Westfalen
Hochschule für Forstwirtschaft Rottenburg,Baden-Württemberg
Hochschule für Musik Würzburg,Bayern
Hochschule für Künste Bremen,Bremen
Rheinische FH Köln,Nordrhein-Westfalen
Deutsche Hochschule für angewandte Wissenschaften,Brandenburg
hochschule 21,Niedersachsen
Zeppelin Universität,Baden-Württemberg
Digital Business University,Berlin
bbw Hochschule Berlin,Berlin
Hochschule für Musik Nürnberg,Bayern
Hochschule für Medien Kommunikation und Wirtschaft,Berlin
Apollon Hochschule,Bremen
Humanistische Hochschule Berlin,Berlin
Hochschule für Musik Trossingen,Baden-Württemberg
SDI München,Bayern
Hochschule für öffentliche Verwaltung Bremen,Bremen
DIPLOMA - FH Nordhessen,Hessen
Hochschule für Musik und Darstellende Kunst Frankfurt,Hessen
EBS U für Wirtschaft und Recht,Hessen
Evangelische Hochschule Tabor,Hessen
Hochschule für Musik und Darstellende Kunst Stuttgart,Baden-Württemberg
Internationale Hochschule Liebenzell,Baden-Württemberg
Hochschule für Telekommunikation Leipzig,Sachsen
Europäische FH,Nordrhein-Westfalen
ADG Business School,Rheinland-Pfalz
University of Europe for Applied Sciences,Brandenburg
Wilhelm Büchner Hochschule Darmstadt,Hessen
TH Ulm,Baden-Württemberg
Alanus Hochschule,Nordrhein-Westfalen
XU Exponential University of Applied Sciences,Brandenburg
IB Hochschule,Berlin
Evang. Hochschule Freiburg,Baden-Württemberg
Berufsakademie Rhein-Main,Hessen
Karl-Schiller-Berufskolleg (KSBK),Nordrhein-Westfalen
Frankfurt School of Finance & Management,Hessen
Campus M University,Bayern
