domain,country,provider_type,provider,count
tuev-nord.de,unknown,1.0,0,
stud.uni-duisburg-essen.de,Germany,2.0,Universität Duisburg-Essen,
ps-fuerstenberg.de,unknown,1.0,0,
uni-siegen.de,Germany,2.0,Universität Siegen,
ku.de,Germany,2.0,Universität Eichstätt-Ingolstadt,
ruhr-uni-bochum.de,Germany,2.0,Ruhr-Uni Bochum,
th-deg.de,Germany,2.0,TH Deggendorf,
kabelmail.de,0,0.0,0.0,
hg-epp.de,unknown,1.0,0,
informatik.uni-freiburg.de,Germany,2.0,Universität Freiburg,
fh-aachen.de,Germany,2.0,FH Aachen,
vdi.de,unknown,1.0,0,
unitybox.de,0,0.0,0.0,
uni-bayreuth.de,Germany,2.0,Universität Bayreuth,
hs-bremen.de,Germany,2.0,Hochschule Bremen,
uni-saarland.de,Germany,2.0,Universität des Saarlandes,
th-luebeck.de,Germany,2.0,TH Lübeck,
hochschule-stralsund.de,Germany,2.0,Hochschule Stralsund,
telekom.de,0,0.0,0.0,
cs.uni-freiburg.de,Germany,2.0,Universität Freiburg,
leuphana.de,Germany,2.0,Leuphana Universität Lüneburg,
unisg.ch,Switzerland,2.0,Universität St. Gallen (HSG),
init.de,unknown,1.0,0,
laek-bw.de,unknown,1.0,0,
med.uni-goettingen.de,Germany,2.0,Universität Göttingen,
ovgu.de,Germany,2.0,OVGU Magdeburg,
zedat.fu-berlin.de,Germany,2.0,FU Berlin,
infai.org,unknown,1.0,0,
dlr.de,unknown,1.0,0,
aau.at,unknown,1.0,0,
med.uni-duesseldorf.de,Germany,2.0,HHU Düsseldorf,
unibe.ch,Switzerland,2.0,Universität Bern,
eah-jena.de,Germany,2.0,Ernst-Abbe-Hochschule Jena,
stud.ph-freiburg.de,Germany,2.0,PH Freiburg,
mosbach.dhbw.de,Germany,2.0,DHBW,
uni-paderborn.de,Germany,2.0,Universität Paderborn,
outlook.at,unknown,0.0,0.0,
thyssenkrupp.com,unknown,1.0,0,
student.uni-tuebingen.de,Germany,2.0,Universität Tübingen,
studium.uni-hamburg.de,Germany,2.0,Universität Hamburg,
berlin.de,unknown,0.0,0.0,
dosb.de,unknown,1.0,0,
stud.fra-uas.de,unknown,1.0,0,
tf.uni-freiburg.de,Germany,2.0,Universität Freiburg,
dhbw.de,Germany,2.0,DHBW,
th-owl.de,Germany,2.0,TH Ostwestfalen-Lippe,
onlinehome.de,0,0.0,0.0,
em.uni-frankfurt.de,Germany,2.0,Universität Frankfurt,
mh-hannover.de,Germany,2.0,Medizinische Hochschule Hannover,
cas.dhbw.de,Germany,2.0,DHBW,
schule.bayern.de,unknown,1.0,0,
medicalschool-hamburg.de,Germany,2.0,Medical School Hamburg,
